"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete Exercise","LMS service","Sat Oct 18 09:14:47 GMT 2025","passed","Sat Oct 18 09:14:47 GMT 2025","Delete entity","Exercises","",""
"","551","Login with correct email and password","LMS service","Sat Oct 18 09:14:43 GMT 2025","passed","Sat Oct 18 09:14:43 GMT 2025","Login","Authentications","",""
"","18","Delete file","LMS service","Sat Oct 18 09:14:49 GMT 2025","passed","Sat Oct 18 09:14:49 GMT 2025","Delete entity","Files","",""
"","535","Create user","LMS service","Sat Oct 18 09:14:51 GMT 2025","passed","Sat Oct 18 09:14:51 GMT 2025","Create entity","Users","",""
"","21","Update Exercise","LMS service","Sat Oct 18 09:14:45 GMT 2025","passed","Sat Oct 18 09:14:45 GMT 2025","Update entity","Exercises","",""
"","264","Get user me","LMS service","Sat Oct 18 09:14:51 GMT 2025","passed","Sat Oct 18 09:14:51 GMT 2025","Get entities","Users","",""
"","20","GET Exercises","LMS service","Sat Oct 18 09:14:48 GMT 2025","passed","Sat Oct 18 09:14:48 GMT 2025","Get entities","Exercises","",""
"","18","Get Exercise","LMS service","Sat Oct 18 09:14:47 GMT 2025","passed","Sat Oct 18 09:14:47 GMT 2025","Get entities","Exercises","",""
"","20","Create Exercise","LMS service","Sat Oct 18 09:14:45 GMT 2025","passed","Sat Oct 18 09:14:45 GMT 2025","Create entity","Exercises","",""
"","31","Update course","LMS service","Sat Oct 18 09:14:44 GMT 2025","passed","Sat Oct 18 09:14:44 GMT 2025","Update entity","Courses","",""
"","530","Create user","LMS service","Sat Oct 18 09:14:49 GMT 2025","passed","Sat Oct 18 09:14:50 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Sat Oct 18 09:14:49 GMT 2025","passed","Sat Oct 18 09:14:49 GMT 2025","Get entities","Files","",""
"","28","Create file","LMS service","Sat Oct 18 09:14:48 GMT 2025","passed","Sat Oct 18 09:14:48 GMT 2025","Create entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Sat Oct 18 09:14:50 GMT 2025","passed","Sat Oct 18 09:14:51 GMT 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Sat Oct 18 09:14:49 GMT 2025","passed","Sat Oct 18 09:14:49 GMT 2025","Create entity","Users","",""
"","29","Create Course","LMS service","Sat Oct 18 09:14:44 GMT 2025","passed","Sat Oct 18 09:14:44 GMT 2025","Create entity","Courses","",""
"","31","Get courses","LMS service","Sat Oct 18 09:14:43 GMT 2025","passed","Sat Oct 18 09:14:43 GMT 2025","Get entities","Courses","",""
