"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create Exercise","LMS service","Sat Oct 18 14:22:02 GMT 2025","passed","Sat Oct 18 14:22:02 GMT 2025","Create entity","Exercises","",""
"","30","Update course","LMS service","Sat Oct 18 14:22:01 GMT 2025","passed","Sat Oct 18 14:22:01 GMT 2025","Update entity","Courses","",""
"","25","GET Exercises","LMS service","Sat Oct 18 14:22:04 GMT 2025","passed","Sat Oct 18 14:22:04 GMT 2025","Get entities","Exercises","",""
"","530","Create user","LMS service","Sat Oct 18 14:22:06 GMT 2025","passed","Sat Oct 18 14:22:07 GMT 2025","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","Sat Oct 18 14:22:07 GMT 2025","passed","Sat Oct 18 14:22:07 GMT 2025","Validate entity","Files","",""
"","530","Create user","LMS service","Sat Oct 18 14:22:07 GMT 2025","passed","Sat Oct 18 14:22:07 GMT 2025","Create entity","Users","",""
"","520","Login with correct email and password","LMS service","Sat Oct 18 14:21:59 GMT 2025","passed","Sat Oct 18 14:22:00 GMT 2025","Login","Authentications","",""
"","14","Get user me","LMS service","Sat Oct 18 14:22:08 GMT 2025","passed","Sat Oct 18 14:22:08 GMT 2025","Get entities","Users","",""
"","504","Create user","LMS service","Sat Oct 18 14:22:06 GMT 2025","passed","Sat Oct 18 14:22:06 GMT 2025","Create entity","Users","",""
"","21","Delete Exercise","LMS service","Sat Oct 18 14:22:03 GMT 2025","passed","Sat Oct 18 14:22:03 GMT 2025","Delete entity","Exercises","",""
"","20","Update Exercise","LMS service","Sat Oct 18 14:22:02 GMT 2025","passed","Sat Oct 18 14:22:02 GMT 2025","Update entity","Exercises","",""
"","32","Create Course","LMS service","Sat Oct 18 14:22:01 GMT 2025","passed","Sat Oct 18 14:22:01 GMT 2025","Create entity","Courses","",""
"","18","Delete file","LMS service","Sat Oct 18 14:22:06 GMT 2025","passed","Sat Oct 18 14:22:06 GMT 2025","Delete entity","Files","",""
"","18","Get Exercise","LMS service","Sat Oct 18 14:22:03 GMT 2025","passed","Sat Oct 18 14:22:03 GMT 2025","Get entities","Exercises","",""
"","29","Create file","LMS service","Sat Oct 18 14:22:04 GMT 2025","passed","Sat Oct 18 14:22:04 GMT 2025","Create entity","Files","",""
"","17","Get file","LMS service","Sat Oct 18 14:22:06 GMT 2025","passed","Sat Oct 18 14:22:06 GMT 2025","Get entities","Files","",""
"","24","Get courses","LMS service","Sat Oct 18 14:22:00 GMT 2025","passed","Sat Oct 18 14:22:00 GMT 2025","Get entities","Courses","",""
