"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Create Course","LMS service","Sat Oct 18 08:55:54 GMT 2025","passed","Sat Oct 18 08:55:54 GMT 2025","Create entity","Courses","",""
"","32","Update course","LMS service","Sat Oct 18 08:55:53 GMT 2025","passed","Sat Oct 18 08:55:53 GMT 2025","Update entity","Courses","",""
"","287","Create user","LMS service","Sat Oct 18 08:56:00 GMT 2025","passed","Sat Oct 18 08:56:00 GMT 2025","Create entity","Users","",""
"","532","Create user","LMS service","Sat Oct 18 08:56:00 GMT 2025","passed","Sat Oct 18 08:56:01 GMT 2025","Create entity","Users","",""
"","264","Create file","LMS service","Sat Oct 18 08:55:57 GMT 2025","passed","Sat Oct 18 08:55:57 GMT 2025","Create entity","Files","",""
"","284","Login with correct email and password","LMS service","Sat Oct 18 08:55:52 GMT 2025","passed","Sat Oct 18 08:55:52 GMT 2025","Login","Authentications","",""
"","263","Create file with empty directory","LMS service","Sat Oct 18 08:55:59 GMT 2025","passed","Sat Oct 18 08:55:59 GMT 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Sat Oct 18 08:55:58 GMT 2025","passed","Sat Oct 18 08:55:58 GMT 2025","Get entities","Files","",""
"","11","Get user me","LMS service","Sat Oct 18 08:56:01 GMT 2025","passed","Sat Oct 18 08:56:01 GMT 2025","Get entities","Users","",""
"","17","GET Exercises","LMS service","Sat Oct 18 08:55:57 GMT 2025","passed","Sat Oct 18 08:55:57 GMT 2025","Get entities","Exercises","",""
"","17","Get file with incorrect file id","LMS service","Sat Oct 18 08:56:00 GMT 2025","passed","Sat Oct 18 08:56:00 GMT 2025","Validate entity","Files","",""
"","528","Create user","LMS service","Sat Oct 18 08:56:00 GMT 2025","passed","Sat Oct 18 08:56:00 GMT 2025","Create entity","Users","",""
"","19","Delete file","LMS service","Sat Oct 18 08:56:00 GMT 2025","passed","Sat Oct 18 08:56:00 GMT 2025","Delete entity","Files","",""
"","288","Update Exercise","LMS service","Sat Oct 18 08:55:55 GMT 2025","passed","Sat Oct 18 08:55:55 GMT 2025","Update entity","Exercises","",""
"","320","Create file with empty filename","LMS service","Sat Oct 18 08:55:58 GMT 2025","failed","Sat Oct 18 08:55:58 GMT 2025","Validate entity","Files","",""
"","22","Create Exercise","LMS service","Sat Oct 18 08:55:54 GMT 2025","passed","Sat Oct 18 08:55:54 GMT 2025","Create entity","Exercises","",""
"","289","Delete Exercise","LMS service","Sat Oct 18 08:55:56 GMT 2025","passed","Sat Oct 18 08:55:56 GMT 2025","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Sat Oct 18 08:55:52 GMT 2025","passed","Sat Oct 18 08:55:52 GMT 2025","Get entities","Courses","",""
"","17","Get Exercise","LMS service","Sat Oct 18 08:55:55 GMT 2025","passed","Sat Oct 18 08:55:55 GMT 2025","Get entities","Exercises","",""
