"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","524","Create user","LMS service","Sat Oct 18 08:58:55 GMT 2025","passed","Sat Oct 18 08:58:56 GMT 2025","Create entity","Users","",""
"","22","Create Exercise","LMS service","Sat Oct 18 08:58:51 GMT 2025","passed","Sat Oct 18 08:58:51 GMT 2025","Create entity","Exercises","",""
"","13","Get file with incorrect file id","LMS service","Sat Oct 18 08:58:56 GMT 2025","passed","Sat Oct 18 08:58:56 GMT 2025","Validate entity","Files","",""
"","30","Update course","LMS service","Sat Oct 18 08:58:50 GMT 2025","passed","Sat Oct 18 08:58:50 GMT 2025","Update entity","Courses","",""
"","18","Update Exercise","LMS service","Sat Oct 18 08:58:51 GMT 2025","passed","Sat Oct 18 08:58:51 GMT 2025","Update entity","Exercises","",""
"","17","GET Exercises","LMS service","Sat Oct 18 08:58:53 GMT 2025","passed","Sat Oct 18 08:58:53 GMT 2025","Get entities","Exercises","",""
"","27","Create Course","LMS service","Sat Oct 18 08:58:50 GMT 2025","passed","Sat Oct 18 08:58:50 GMT 2025","Create entity","Courses","",""
"","19","Get file","LMS service","Sat Oct 18 08:58:54 GMT 2025","passed","Sat Oct 18 08:58:54 GMT 2025","Get entities","Files","",""
"","557","Create user","LMS service","Sat Oct 18 08:58:54 GMT 2025","passed","Sat Oct 18 08:58:55 GMT 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Sat Oct 18 08:58:56 GMT 2025","passed","Sat Oct 18 08:58:56 GMT 2025","Get entities","Users","",""
"","24","Create file","LMS service","Sat Oct 18 08:58:53 GMT 2025","passed","Sat Oct 18 08:58:53 GMT 2025","Create entity","Files","",""
"","21","Delete file","LMS service","Sat Oct 18 08:58:54 GMT 2025","passed","Sat Oct 18 08:58:54 GMT 2025","Delete entity","Files","",""
"","552","Login with correct email and password","LMS service","Sat Oct 18 08:58:48 GMT 2025","passed","Sat Oct 18 08:58:48 GMT 2025","Login","Authentications","",""
"","25","Get courses","LMS service","Sat Oct 18 08:58:48 GMT 2025","passed","Sat Oct 18 08:58:48 GMT 2025","Get entities","Courses","",""
"","15","Get Exercise","LMS service","Sat Oct 18 08:58:52 GMT 2025","passed","Sat Oct 18 08:58:52 GMT 2025","Get entities","Exercises","",""
"","18","Delete Exercise","LMS service","Sat Oct 18 08:58:52 GMT 2025","passed","Sat Oct 18 08:58:52 GMT 2025","Delete entity","Exercises","",""
"","540","Create user","LMS service","Sat Oct 18 08:58:56 GMT 2025","passed","Sat Oct 18 08:58:56 GMT 2025","Create entity","Users","",""
