"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Login with correct email and password","LMS service","Sat Oct 18 14:24:29 GMT 2025","passed","Sat Oct 18 14:24:30 GMT 2025","Login","Authentications","",""
"","530","Create user","LMS service","Sat Oct 18 14:24:37 GMT 2025","passed","Sat Oct 18 14:24:37 GMT 2025","Create entity","Users","",""
"","32","Create Course","LMS service","Sat Oct 18 14:24:31 GMT 2025","passed","Sat Oct 18 14:24:31 GMT 2025","Create entity","Courses","",""
"","27","Get Exercise","LMS service","Sat Oct 18 14:24:34 GMT 2025","passed","Sat Oct 18 14:24:34 GMT 2025","Get entities","Exercises","",""
"","21","Update Exercise","LMS service","Sat Oct 18 14:24:32 GMT 2025","passed","Sat Oct 18 14:24:32 GMT 2025","Update entity","Exercises","",""
"","17","Get file","LMS service","Sat Oct 18 14:24:36 GMT 2025","passed","Sat Oct 18 14:24:36 GMT 2025","Get entities","Files","",""
"","538","Create user","LMS service","Sat Oct 18 14:24:37 GMT 2025","passed","Sat Oct 18 14:24:38 GMT 2025","Create entity","Users","",""
"","27","Create file","LMS service","Sat Oct 18 14:24:35 GMT 2025","passed","Sat Oct 18 14:24:35 GMT 2025","Create entity","Files","",""
"","38","Update course","LMS service","Sat Oct 18 14:24:31 GMT 2025","passed","Sat Oct 18 14:24:31 GMT 2025","Update entity","Courses","",""
"","31","Create Exercise","LMS service","Sat Oct 18 14:24:32 GMT 2025","passed","Sat Oct 18 14:24:32 GMT 2025","Create entity","Exercises","",""
"","18","GET Exercises","LMS service","Sat Oct 18 14:24:35 GMT 2025","passed","Sat Oct 18 14:24:35 GMT 2025","Get entities","Exercises","",""
"","27","Delete Exercise","LMS service","Sat Oct 18 14:24:34 GMT 2025","passed","Sat Oct 18 14:24:34 GMT 2025","Delete entity","Exercises","",""
"","523","Create user","LMS service","Sat Oct 18 14:24:36 GMT 2025","passed","Sat Oct 18 14:24:37 GMT 2025","Create entity","Users","",""
"","21","Delete file","LMS service","Sat Oct 18 14:24:36 GMT 2025","passed","Sat Oct 18 14:24:36 GMT 2025","Delete entity","Files","",""
"","15","Get user me","LMS service","Sat Oct 18 14:24:38 GMT 2025","passed","Sat Oct 18 14:24:38 GMT 2025","Get entities","Users","",""
"","30","Get courses","LMS service","Sat Oct 18 14:24:30 GMT 2025","passed","Sat Oct 18 14:24:30 GMT 2025","Get entities","Courses","",""
"","17","Get file with incorrect file id","LMS service","Sat Oct 18 14:24:37 GMT 2025","passed","Sat Oct 18 14:24:37 GMT 2025","Validate entity","Files","",""
